TYPE,JUNCTION BLACKSITE,NOTE
A,"ARGYLE STREET, SAI YEE STREET",
A,"ARGYLE STREET, TONG MI ROAD, CHERRY STREET",
A,"BOUNDARY STREET, EMBANKMENT ROAD",
A,"CANTON ROAD, AUSTIN ROAD, AUSTIN ROAD WEST",
A,"CHATHAM ROAD SOUTH, AUSTIN ROAD, CHEONG WAN ROAD",
A,"CHEUNG SHA WAN ROAD, BUTTERFLY VALLEY ROAD",
A,"CHEUNG SHA WAN ROAD, NAM CHEONG STREET",
A,"CHEUNG SHA WAN ROAD, YEN CHOW STREET",1
A,"HIP WO STREET, MUT WAH STREET, YUET WAH STREET",
A,"JORDAN ROAD, LIN CHEUNG ROAD",
A,"KI LUNG STREET, KWEILIN STREET",
A,"KWUN TONG ROAD, LAI YIP STREET, ELEGANCE ROAD",
A,"KWUN TONG ROAD, LEI YUE MUN ROAD, TSUI PING ROAD",
A,"LAI CHI KOK ROAD, YEN CHOW STREET",
A,"LEI YUE MUN ROAD (W/B), CHA KWO LING ROAD",
A,"LIN CHEUNG ROAD (N/B), CHERRY STREET",
A,"MA TAU CHUNG ROAD, SUNG WONG TOI ROAD, FU NING STREET",
A,"NAM CHEONG STREET, HAI TAN STREET",
A,"NATHAN ROAD, ARGYLE STREET",
A,"NATHAN ROAD, AUSTIN ROAD",
A,"NATHAN ROAD, GASCOIGNE ROAD, KANSU STREET",1
A,"NATHAN ROAD, MONG KOK ROAD",
A,"SHANGHAI STREET, DUNDAS STREET",
A,"TSEUNG KWAN O ROAD, LEI YUE MUN ROAD, WAI FAT ROAD",
A,"TSUEN KAM INTERCHANGE, TEXACO ROAD NORTH",
A,"TSUEN KAM INTERCHANGE, WAI TSUEN ROAD",
A,"TSUEN TSING INTERCHANGE, TSUEN WAN ROAD",
A,"WATERLOO ROAD, ARGYLE STREET, PRINCESS MARGARET ROAD",
B,"ALDRICH BAY ROAD, OI SHUN ROAD",
B,"ARGYLE STREET, KADOORIE AVENUE",
B,"CANTON ROAD, PUBLIC SQUARE STREET",
B,"CASTLE PEAK ROAD - YUEN LONG, LONG YAT ROAD",
B,"CASTLE PEAK ROAD, KWONG CHEUNG STREET",
B,"CHEUNG SHA WAN ROAD, TONKIN STREET",
B,"CHEUNG WAH STREET, FUK WING STREET",
B,"FUK WA STREET, YEN CHOW STREET",
B,"HIP WO STREET, TUNG YAN STREET",
B,"HONG NING ROAD, MING CHI STREET",
B,"KAM SHEUNG ROAD, TUNG WUI ROAD",
B,"LAI CHI KOK ROAD, FAT TSEUNG STREET",
B,"LAI CHI KOK ROAD, NAM CHEONG STREET",
B,"MA TAU WAI ROAD, FAT KWONG STREET, MAN YUE STREET",
B,"MAU YIP ROAD, MAU TAI ROAD OUTSIDE METRO CITY PHASE 1",
B,"NATHAN ROAD, HAIPHONG ROAD, HUMPHREYS AVENUE",
B,"NEW CLEAR WATER BAY ROAD, FUNG SHING STREET",
B,"NGAU TAU KOK ROAD, HORSE SHOE LANE",
B,"PRINCE EDWARD ROAD WEST, FA YUEN STREET",
B,"SHEUNG HEUNG ROAD, PAU CHUNG STREET",
B,"YI CHUN STREET, NIN CHUN STREET",
